wl,n
0.000292353,0.99991275
0.000294006,0.99991178
0.000295668,0.9999108
0.00029734,0.9999098
0.000299021,0.9999088
0.000300712,0.9999078
0.000302412,0.99990678
0.000304122,0.99990575
0.000305841,0.99990471
0.000307571,0.99990366
0.00030931,0.9999026
0.000311058,0.99990148
0.000312817,0.9999004
0.000314586,0.99989931
0.000316364,0.9998982
0.000318153,0.99989709
0.000319952,0.99989597
0.000321761,0.99989483
0.00032358,0.99989369
0.00032541,0.99989253
0.00032725,0.99989136
0.0003291,0.99989019
0.000330961,0.99988895
0.000332832,0.99988775
0.000334714,0.99988654
0.000336606,0.99988532
0.000338509,0.99988408
0.000340423,0.99988284
0.000342348,0.99988159
0.000344284,0.99988032
0.00034623,0.99987904
0.000348188,0.99987775
0.000350157,0.99987645
0.000352136,0.99987514
0.000354127,0.99987382
0.00035613,0.99987248
0.000358143,0.99987114
0.000360168,0.99986974
0.000362205,0.99986838
0.000364253,0.99986699
0.000366312,0.9998656
0.000368383,0.9998642
0.000370466,0.99986279
0.000372561,0.99986137
0.000374667,0.99985993
0.000376785,0.99985849
0.000378916,0.99985704
0.000381058,0.99985557
0.000383213,0.99985409
0.000385379,0.9998526
0.000387558,0.9998511
0.00038975,0.9998496
0.000391953,0.99984806
0.000394169,0.99984653
0.000396398,0.99984499
0.000398639,0.99984344
0.000400893,0.99984189
0.00040316,0.99984032
0.000405439,0.99983874
0.000407732,0.99983715
0.000410037,0.99983556
0.000412355,0.99983395
0.000414687,0.99983234
0.000417032,0.99983072
0.000419389,0.9998291
0.000421761,0.99982747
0.000424145,0.99982583
0.000426543,0.99982418
0.000428955,0.99982252
0.00043138,0.99982086
0.000433819,0.9998192
0.000436272,0.99981754
0.000438739,0.99981587
0.00044122,0.99981419
0.000443714,0.99981252
0.000446223,0.99981085
0.000448746,0.99980917
0.000451283,0.99980749
0.000453835,0.99980583
0.000456401,0.99980418
0.000458981,0.99980251
0.000461576,0.99980086
0.000464186,0.99979922
0.000466811,0.99979759
0.00046945,0.999796
0.000472104,0.99979441
0.000474774,0.99979285
0.000477458,0.99979133
0.000480158,0.99978987
0.000482872,0.99978848
0.000485603,0.99978723
0.000488348,0.9997864
0.000491109,0.99978561
0.000493886,0.9997842
0.000496678,0.99978197
0.000499487,0.99977943
0.000502311,0.99977723
0.000505151,0.9997753
0.000508007,0.99977351
0.000510879,0.99977182
0.000513768,0.99977024
0.000516673,0.99976876
0.000519594,0.99976739
0.000522532,0.99976618
0.000525486,0.99976508
0.000528457,0.99976418
0.000531445,0.99976352
0.00053445,0.99976319
0.000537472,0.99976335
0.000540511,0.99976432
0.000543567,0.99976698
0.00054664,0.99977729
0.000549731,0.99977573
0.000552839,0.99976204
0.000555965,0.99975569
0.000559108,0.99975088
0.000562269,0.9997468
0.000565448,0.99974316
0.000568645,0.99973979
0.000571861,0.99973664
0.000575094,0.99973366
0.000578346,0.9997308
0.000581615,0.99972811
0.000584904,0.99972548
0.000588211,0.99972294
0.000591537,0.9997205
0.000594881,0.99971815
0.000598245,0.99971591
0.000601627,0.9997138
0.000605029,0.99971191
0.00060845,0.99971023
0.00061189,0.99970958
0.00061535,0.9997075
0.000618829,0.99970397
0.000622328,0.99970142
0.000625846,0.99969915
0.000629385,0.99969704
0.000632943,0.99969508
0.000636522,0.99969331
0.000640121,0.99969158
0.00064374,0.99968999
0.00064738,0.99968851
0.00065104,0.99968717
0.000654721,0.99968596
0.000658423,0.99968491
0.000662146,0.99968402
0.00066589,0.99968338
0.000669655,0.99968284
0.000673441,0.9996825
0.000677248,0.99968237
0.000681078,0.99968241
0.000684928,0.99968232
0.000687288,0.99968252
0.00069107,0.99968399
0.000695077,0.99968642
0.000698874,0.99968966
0.000702846,0.99969404
0.000705825,0.99969791
0.000712006,0.9997066
0.000714898,0.99971126
0.000719337,0.99971835
0.000723364,0.99972482
0.000727497,0.99973118
0.000728169,0.99973223
0.000728401,0.99973258
0.000728925,0.99973337
0.000729356,0.99973401
0.000729628,0.99973441
0.000730301,0.99973539
0.000730543,0.99973574
0.000731077,0.99973651
0.000731431,0.99973701
0.000731955,0.99973774
0.000732377,0.99973833
0.000732705,0.99973878
0.000733224,0.99973947
0.000733604,0.99973997
0.000734036,0.99974052
0.000734616,0.9997413
0.000734806,0.99974144
0.00073551,0.99974265
0.000735797,0.99974332
0.000736208,0.99974361
0.000736727,0.9997441
0.000737076,0.99974464
0.000737544,0.99974555
0.000738063,0.99974649
0.000738402,0.99974669
0.000738956,0.99974706
0.000739239,0.99974758
0.000739845,0.99974843
0.000740153,0.99974882
0.000740662,0.9997497
0.000741139,0.99975033
0.000741427,0.99975033
0.000742064,0.99975044
0.000742357,0.99975076
0.000742927,0.99975111
0.000743307,0.99975177
0.000743723,0.9997536
0.000744232,0.9997541
0.000744545,0.99975341
0.000745207,0.9997534
0.000745218,0.9997534
0.000746337,0.99975461
0.000746358,0.99975467
0.000746969,0.99975502
0.000747395,0.99975516
0.000747724,0.99975554
0.00074831,0.99975624
0.000748644,0.99975682
0.000749178,0.99975712
0.000749625,0.99975712
0.00075003,0.99975787
0.000750554,0.99975872
0.000750909,0.99975927
0.000751438,0.99975982
0.000751884,0.99975924
0.000752321,0.9997596
0.000752835,0.99976056
0.000753184,0.99976014
0.000753764,0.99976078
0.000754088,0.99976191
0.000754694,0.9997625
0.000755038,0.99976256
0.00075551,0.99976337
0.00075608,0.99976433
0.000756425,0.9997648
0.000756959,0.99976513
0.000757364,0.99976534
0.000757883,0.99976597
0.000758274,0.99976619
0.000758756,0.99976637
0.000759085,0.99976677
0.000759907,0.99976837
0.000760194,0.9997685
0.00076059,0.99976754
0.000761175,0.99976746
0.000761499,0.99976788
0.0007621,0.99976841
0.000762464,0.99976891
0.000763009,0.99976915
0.000763409,0.99976884
0.000763959,0.99976882
0.000764442,0.99976931
0.000764801,0.99977024
0.000765366,0.9997707
0.000765761,0.99976989
0.000766352,0.99977044
0.000766691,0.9997713
0.000767281,0.99977217
0.000767687,0.99977267
0.000768185,0.99977352
0.000768694,0.99977356
0.000769105,0.99977324
0.000769659,0.99977352
0.000770003,0.99977367
0.000770614,0.99977357
0.000771,0.99977318
0.00077158,0.99977253
0.00077197,0.99977221
0.000772479,0.9997715
0.000773033,0.99977235
0.000773382,0.99977364
0.000774024,0.99977583
0.000774353,0.99977691
0.000774949,0.99977706
0.000775282,0.99977806
0.000775955,0.99978017
0.000776227,0.99978111
0.000776977,0.99978344
0.00077727,0.9997841
0.000777891,0.99978626
0.000778333,0.99978696
0.000778708,0.99978716
0.00077938,0.9997866
0.000779719,0.99978665
0.000780325,0.99978865
0.00078069,0.99978899
0.000781306,0.99978968
0.000781665,0.99979094
0.000782307,0.99979215
0.000782682,0.9997925
0.000783268,0.99979292
0.000783653,0.99979351
0.000784284,0.99979448
0.000784675,0.99979404
0.000785229,0.99979382
0.000785717,0.99979439
0.000786189,0.99979402
0.000786682,0.99979264
0.000787237,0.99979227
0.000787745,0.99979298
0.000788151,0.99979235
0.000788757,0.99979096
0.000789152,0.99979082
0.000789758,0.99979005
0.000790164,0.99978868
0.000790754,0.99978699
0.000791165,0.99978653
0.000791791,0.99978607
0.000792197,0.99978551
0.000792741,0.99978426
0.000793255,0.99978381
0.000793763,0.99978386
0.000794266,0.99978249
0.000794775,0.99978061
0.000795288,0.99977884
0.000795791,0.99977683
0.000796336,0.99977493
0.000796757,0.99977409
0.000797296,0.99977396
0.000797866,0.99977253
0.000803008,0.99975724
0.000808245,0.9997421
0.000813558,0.99972594
0.000818954,0.99970991
0.000824381,0.99969438
0.000829904,0.99967907
0.000835412,0.99966454
0.000841182,0.99965099
0.000846864,0.99963946
0.000852751,0.99962787
0.000858582,0.99961715
0.000864679,0.99960641
0.000870694,0.99959538
0.000876822,0.99958347
0.000883066,0.99957091
0.000889388,0.99955798
0.000895859,0.9995454
0.000902381,0.99953417
0.000908933,0.99952246
0.000915695,0.99951052
0.000922524,0.9994995
0.000929383,0.99948837
0.000936422,0.99947698
0.000943619,0.99946571
0.000950785,0.99945458
0.00095815,0.99944327
0.000965588,0.9994313
0.000973117,0.99941967
0.000980933,0.99940796
0.000988753,0.99939577
0.000996604,0.99938334
0.001004701,0.99937093
0.001013033,0.99935823
0.001021211,0.99934583
0.001029748,0.99933257
0.001038398,0.99931901
0.001047134,0.99930548
0.001056104,0.99929149
0.001065141,0.99927734
0.001074454,0.99926273
0.001083772,0.99924805
0.001093335,0.99923295
0.001103025,0.9992176
0.001113007,0.99920186
0.001123024,0.9991859
0.001133348,0.99916941
0.001143763,0.99915271
0.001154383,0.99913564
0.001165284,0.99911806
0.001176317,0.99910021
0.001187621,0.99908187
0.001199098,0.99906326
0.001210722,0.99904429
0.001222725,0.99902463
0.001234901,0.99900458
0.00124242,0.99899228
0.001248554,0.99898228
0.00125499,0.99897169
0.001261271,0.99896139
0.00126784,0.9989505
0.001274259,0.99894002
0.001280854,0.99892915
0.001287512,0.99891805
0.001294122,0.99890721
0.001301024,0.9988957
0.001307942,0.99888405
0.001314823,0.99887254
0.001321767,0.99886074
0.001328944,0.99884848
0.001336026,0.99883623
0.00134333,0.99882344
0.001350645,0.9988106
0.001357944,0.99879775
